City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.21,-159.78,77.0,65,5,9.17,clear sky
1,Nikolskoye,RU,59.7,30.79,60.8,82,75,6.71,light intensity shower rain
2,Butaritari,KI,3.07,172.79,83.19,63,99,6.46,overcast clouds
3,Coihaique,CL,-45.58,-72.07,48.2,61,75,6.93,broken clouds
4,Barrow,US,71.29,-156.79,42.8,87,90,24.16,overcast clouds
5,Gwembe,ZM,-16.5,27.61,52.63,83,0,4.18,clear sky
6,Norman Wells,CA,65.28,-126.83,69.8,46,20,11.41,few clouds
7,Batemans Bay,AU,-35.72,150.18,59.0,56,26,11.01,scattered clouds
8,Awjilah,LY,29.11,21.29,75.81,48,0,9.64,clear sky
9,Chokurdakh,RU,70.63,147.92,37.22,86,100,6.71,overcast clouds
10,Batagay,RU,67.63,134.63,43.79,62,100,4.38,overcast clouds
11,Kapaa,US,22.08,-159.32,86.0,66,40,13.87,scattered clouds
12,Sapucai,PY,-25.67,-56.92,49.19,65,0,4.88,clear sky
13,Nouadhibou,MR,20.93,-17.03,73.4,83,72,13.87,broken clouds
14,Auki,SB,-8.77,160.7,83.95,76,80,5.82,moderate rain
15,Sao Joao Da Barra,BR,-21.64,-41.05,64.83,79,92,13.47,overcast clouds
16,Sola,VU,-13.88,167.55,86.0,74,75,4.7,broken clouds
17,Codrington,AU,-38.27,141.97,49.66,77,100,16.2,light rain
18,Ushuaia,AR,-54.8,-68.3,42.8,52,40,17.22,scattered clouds
19,Pevek,RU,69.7,170.31,37.98,98,100,4.56,light rain
20,Puerto Ayora,EC,-0.74,-90.35,66.0,91,67,4.0,broken clouds
21,Albany,US,42.6,-73.97,78.01,63,2,5.99,clear sky
22,Asau,RO,46.43,26.4,57.99,95,0,1.45,clear sky
23,Mbanza-Ngungu,CD,-5.25,14.87,68.88,86,25,5.23,scattered clouds
24,Rikitea,PF,-23.12,-134.97,66.92,74,100,18.54,overcast clouds
25,Mareeba,AU,-17.0,145.43,82.4,28,20,16.11,few clouds
26,Eydhafushi,MV,5.1,73.07,83.71,66,0,4.68,clear sky
27,Dafeng,CN,23.45,108.59,84.13,69,0,2.82,clear sky
28,Grand Gaube,MU,-20.01,57.66,66.99,82,47,5.01,light rain
29,Bredasdorp,ZA,-34.53,20.04,48.2,87,63,5.82,broken clouds
30,Cape Town,ZA,-33.93,18.42,46.99,93,43,3.36,scattered clouds
31,Bermeo,ES,43.42,-2.72,64.4,100,40,1.12,scattered clouds
32,Kungurtug,RU,50.6,97.52,51.44,78,11,1.34,few clouds
33,Kalmunai,LK,7.42,81.82,78.55,78,0,11.81,clear sky
34,Bluff,NZ,-46.6,168.33,52.0,84,94,5.99,overcast clouds
35,Pavilosta,LV,56.89,21.19,68.0,88,0,9.17,light rain
36,Vardo,NO,70.37,31.11,56.19,88,0,19.24,clear sky
37,Kamaishi,JP,39.27,141.88,78.8,83,75,3.36,broken clouds
38,Port Elizabeth,ZA,-33.92,25.57,53.6,93,75,3.36,broken clouds
39,Airai,TL,-8.93,125.41,73.47,30,69,5.75,broken clouds
40,Provideniya,RU,64.38,-173.3,52.3,78,100,5.64,light rain
41,Castro,BR,-24.79,-50.01,41.86,91,0,5.66,clear sky
42,Thinadhoo,MV,0.53,72.93,82.31,75,21,7.05,light rain
43,New Norfolk,AU,-42.78,147.06,54.0,87,70,1.99,light rain
44,Carutapera,BR,-1.2,-46.02,77.29,88,0,5.68,clear sky
45,Nisia Floresta,BR,-6.09,-35.21,77.0,78,40,10.29,scattered clouds
46,Marawi,PH,8.0,124.29,82.99,76,5,5.01,clear sky
47,Souillac,MU,-20.52,57.52,69.8,77,75,9.17,broken clouds
48,Lasa,IT,46.62,10.7,57.99,1,23,4.14,few clouds
49,Nanortalik,GL,60.14,-45.24,44.82,78,0,2.04,clear sky
50,Yunyang,CN,33.45,112.71,74.12,88,96,2.26,overcast clouds
51,Busselton,AU,-33.65,115.33,59.18,76,5,11.56,clear sky
52,Mataura,NZ,-46.19,168.86,52.0,84,91,5.99,overcast clouds
53,La Ronge,CA,55.1,-105.28,57.2,93,90,14.99,light intensity shower rain
54,Hermanus,ZA,-34.42,19.23,48.99,90,34,9.73,scattered clouds
55,Kodiak,US,57.79,-152.41,62.6,67,40,6.93,scattered clouds
56,Upernavik,GL,72.79,-56.15,43.38,73,87,8.84,overcast clouds
57,Salalah,OM,17.02,54.09,75.2,100,90,5.82,light intensity drizzle
58,Saskylakh,RU,71.92,114.08,48.15,54,0,6.62,clear sky
59,Yellowknife,CA,62.46,-114.35,60.8,51,40,12.75,scattered clouds
60,Jamestown,US,42.1,-79.24,73.4,64,1,6.93,clear sky
61,Hobart,AU,-42.88,147.33,54.0,87,75,9.17,light intensity shower rain
62,Port Alfred,ZA,-33.59,26.89,57.97,81,0,11.92,clear sky
63,Hambantota,LK,6.12,81.12,78.8,100,20,3.36,few clouds
64,Faanui,PF,-16.48,-151.75,76.32,81,4,19.39,light rain
65,Storforshei,NO,66.4,14.52,55.99,95,90,1.63,light rain
66,Yeniseysk,RU,58.45,92.17,54.18,91,12,3.78,few clouds
67,Catalina,US,32.51,-110.92,99.0,38,0,1.01,clear sky
68,Praia Da Vitoria,PT,38.73,-27.07,71.6,88,20,4.14,few clouds
69,Punta Arenas,CL,-53.15,-70.92,33.8,80,2,14.99,clear sky
70,Yeppoon,AU,-23.13,150.73,68.0,22,0,9.17,clear sky
71,Dikson,RU,73.51,80.55,47.62,76,94,9.01,overcast clouds
72,Saint-Leu,RE,-21.15,55.28,68.0,55,1,8.05,clear sky
73,Kaitangata,NZ,-46.28,169.85,51.01,82,78,17.0,broken clouds
74,Isangel,VU,-19.55,169.27,84.2,66,20,11.41,few clouds
75,Bongandanga,CD,1.5,21.05,70.7,98,100,1.57,overcast clouds
76,Qaanaaq,GL,77.48,-69.36,38.19,84,100,1.88,overcast clouds
77,Paamiut,GL,61.99,-49.67,42.94,93,16,8.5,few clouds
78,Mahanje,TZ,-9.93,35.33,61.23,72,100,0.22,overcast clouds
79,Ulaangom,MN,49.98,92.07,58.32,61,100,3.89,overcast clouds
80,Calamar,CO,10.25,-74.91,78.1,88,100,6.11,light rain
81,Abu Dhabi,AE,24.47,54.37,95.0,56,53,9.17,broken clouds
82,Chuy,UY,-33.7,-53.46,46.15,72,0,6.53,clear sky
83,Bukoba,TZ,-1.33,31.81,66.2,82,20,6.17,few clouds
84,Mendi,PG,-6.18,143.65,67.42,69,47,4.29,light rain
85,Alofi,NU,-19.06,-169.92,80.6,74,76,16.11,broken clouds
86,Kerrville,US,30.05,-99.14,82.99,54,1,8.05,clear sky
87,Atuona,PF,-9.8,-139.03,78.44,77,4,17.94,clear sky
88,Bengkulu,ID,-3.8,102.27,78.98,79,98,3.15,overcast clouds
89,Olafsvik,IS,64.89,-23.71,50.05,64,84,5.86,broken clouds
90,Meghraj,IN,23.5,73.5,77.4,94,100,8.86,moderate rain
91,Victoria,HK,22.29,114.16,87.01,70,16,5.01,few clouds
92,Nizhniy Odes,RU,63.64,54.86,47.35,95,76,3.96,broken clouds
93,Ust-Kulom,RU,61.69,53.69,47.39,95,2,2.93,clear sky
94,Bambous Virieux,MU,-20.34,57.76,69.8,77,75,9.17,broken clouds
95,Kashi,CN,39.45,75.98,77.0,38,0,6.71,clear sky
96,Rincon,US,32.3,-81.24,80.6,78,75,2.15,broken clouds
97,Baoshan,CN,46.56,131.42,73.44,59,100,1.41,overcast clouds
98,Thompson,CA,55.74,-97.86,53.6,66,75,4.7,broken clouds
99,Mar Del Plata,AR,-38.0,-57.56,52.0,61,0,8.05,clear sky
100,Tanete,ID,-3.94,119.78,83.59,55,54,12.88,broken clouds
101,Saint-Philippe,RE,-21.36,55.77,68.0,55,36,8.05,scattered clouds
102,Kahului,US,20.89,-156.47,89.6,55,40,24.16,scattered clouds
103,Vitim,RU,59.45,112.56,63.52,52,100,9.33,overcast clouds
104,Te Anau,NZ,-45.42,167.72,50.41,68,86,1.43,overcast clouds
105,Lebu,CL,-37.62,-73.65,47.66,87,1,2.55,clear sky
106,Moose Factory,CA,51.26,-80.61,53.6,87,90,5.82,overcast clouds
107,Arraial Do Cabo,BR,-22.97,-42.03,66.47,66,100,11.92,overcast clouds
108,Portland,US,45.52,-122.68,79.0,44,20,16.11,smoke
109,Robertsport,LR,6.75,-11.37,76.6,89,90,10.42,moderate rain
110,East London,ZA,-33.02,27.91,62.91,63,0,13.04,clear sky
111,Kitimat,CA,54.05,-128.65,55.99,95,100,1.99,light rain
112,Cherskiy,RU,68.75,161.3,35.83,94,100,22.39,light rain
113,Price,US,39.6,-110.81,84.2,23,75,12.75,broken clouds
114,Itoman,JP,26.12,127.67,82.4,88,75,11.41,light rain
115,Shu,KZ,43.6,73.76,68.0,79,0,2.82,clear sky
116,Kysyl-Syr,RU,63.9,122.76,52.65,47,0,6.4,clear sky
117,Tezu,IN,27.92,96.17,81.34,68,89,0.27,overcast clouds
118,Port Blair,IN,11.67,92.75,82.53,79,100,13.89,overcast clouds
119,Baruun-Urt,MN,46.68,113.28,61.86,79,74,9.33,broken clouds
120,Road Town,VG,18.42,-64.62,82.0,91,100,7.0,light rain
121,Laguna,US,38.42,-121.42,96.8,28,75,3.36,haze
122,Chicama,PE,-7.84,-79.15,60.85,84,93,4.81,overcast clouds
123,Bayan,CN,46.08,127.4,69.31,68,100,3.87,overcast clouds
124,San Patricio,MX,19.22,-104.7,86.0,74,75,5.03,broken clouds
125,Fort Nelson,CA,58.81,-122.7,60.8,87,75,3.36,broken clouds
126,Vaini,TO,-21.2,-175.2,80.6,83,40,11.41,scattered clouds
127,Shache,CN,38.42,77.24,70.38,28,0,4.54,clear sky
128,San Quintin,MX,30.48,-115.95,77.04,68,0,3.98,clear sky
129,Griffith,US,41.53,-87.42,78.01,60,1,3.36,clear sky
130,Tomatlan,MX,19.93,-105.25,81.61,85,100,4.12,overcast clouds
131,Khor,RU,47.89,134.95,70.14,72,43,7.4,scattered clouds
132,Cidreira,BR,-30.18,-50.21,54.37,74,0,6.76,clear sky
133,Sharan,RU,54.82,54.0,47.39,89,14,3.06,few clouds
134,Ponta Delgada,PT,37.73,-25.67,69.8,83,20,2.24,few clouds
135,Humen,CN,22.82,113.67,89.01,74,40,2.24,scattered clouds
136,Cabo San Lucas,MX,22.89,-109.91,87.01,55,5,12.75,clear sky
137,Bandarbeyla,SO,9.49,50.81,76.48,69,41,31.34,scattered clouds
138,Hailakandi,IN,24.68,92.57,77.4,95,38,2.95,scattered clouds
139,Hay River,CA,60.82,-115.8,60.8,77,75,8.05,broken clouds
140,Peleduy,RU,59.63,112.74,63.07,49,100,11.07,overcast clouds
141,Dunedin,NZ,-45.87,170.5,50.0,92,99,12.03,light rain
142,Luderitz,NA,-26.65,15.16,61.38,35,0,11.32,clear sky
143,Lagoa,PT,39.05,-27.98,72.54,83,9,11.25,clear sky
144,Hualmay,PE,-11.1,-77.61,60.35,82,90,8.19,overcast clouds
145,Lumphat,KH,13.49,106.98,78.21,93,57,2.73,broken clouds
146,Lekoni,GA,-1.58,14.26,73.24,81,100,7.94,overcast clouds
147,Sao Filipe,CV,14.9,-24.5,79.07,79,23,4.94,few clouds
148,Novoagansk,RU,61.94,76.66,50.68,89,5,2.35,clear sky
149,Ponta Do Sol,PT,32.67,-17.1,73.4,73,20,11.41,few clouds
150,Zhezkazgan,KZ,47.8,67.71,57.74,58,72,4.09,broken clouds
151,Mindelo,CV,16.89,-24.98,78.69,89,79,4.65,broken clouds
152,Hithadhoo,MV,-0.6,73.08,83.39,79,0,14.47,clear sky
153,Khromtau,KZ,50.25,58.43,54.55,82,100,7.58,overcast clouds
154,Karaton,ID,-6.34,106.1,82.4,69,20,2.24,haze
155,Ribeira Grande,PT,38.52,-28.7,72.73,83,100,8.37,overcast clouds
156,Meulaboh,ID,4.14,96.13,76.15,85,93,3.65,overcast clouds
157,Natal,BR,-5.79,-35.21,77.0,78,40,10.29,scattered clouds
158,Fallon,US,39.47,-118.78,95.0,9,75,5.82,smoke
159,Uacon,PH,15.68,119.94,85.01,69,100,6.42,overcast clouds
160,Esperance,AU,-33.87,121.9,55.4,87,75,10.29,broken clouds
161,Hilo,US,19.73,-155.09,84.2,66,90,8.05,overcast clouds
162,Okhotsk,RU,59.38,143.3,55.63,47,95,9.1,overcast clouds
163,Saint-Pierre,RE,-21.34,55.48,64.4,55,0,8.05,clear sky
164,Kaohsiung,TW,22.62,120.31,80.6,88,75,5.82,thunderstorm
165,Kemijarvi,FI,66.71,27.43,59.94,90,100,8.59,overcast clouds
166,Hovd,MN,48.01,91.64,60.35,43,99,1.61,overcast clouds
167,Clyde River,CA,70.47,-68.59,48.97,77,85,1.57,overcast clouds
168,Puerto Montt,CL,-41.47,-72.94,42.8,100,90,2.24,fog
169,Chingola,ZM,-12.53,27.88,54.37,78,0,6.93,clear sky
170,Birin,NP,26.89,88.07,77.0,100,75,3.36,broken clouds
171,Mahebourg,MU,-20.41,57.7,69.8,77,75,9.17,broken clouds
172,Torbay,CA,47.67,-52.73,62.01,72,20,12.75,few clouds
173,Newport,GB,51.59,-3.0,62.01,95,97,15.61,overcast clouds
174,Holoby,UA,51.09,25.01,64.0,93,5,6.93,clear sky
175,Katsuura,JP,35.13,140.3,79.0,89,100,1.99,moderate rain
176,Zaraysk,RU,54.77,38.88,53.11,83,80,1.28,broken clouds
177,Beloha,MG,-25.17,45.05,62.58,82,0,13.02,clear sky
178,Tigil,RU,57.8,158.67,52.61,66,100,8.03,overcast clouds
179,Port Hardy,CA,50.7,-127.42,60.8,82,75,9.17,broken clouds
180,College,US,64.86,-147.8,75.2,38,40,1.3,shower rain
181,Mercedes,AR,-34.65,-59.43,51.01,49,0,10.94,clear sky
182,Geraldton,AU,-28.77,114.6,64.4,88,90,2.24,overcast clouds
183,Bathsheba,BB,13.22,-59.52,82.4,83,40,8.05,scattered clouds
184,Zhaotong,CN,27.32,103.72,64.96,85,13,7.02,few clouds
185,Kavaratti,IN,10.57,72.64,82.89,75,100,11.01,light rain
186,Teguldet,RU,57.31,88.17,53.22,95,33,3.98,scattered clouds
187,Los Alamos,US,35.89,-106.31,80.6,37,40,9.17,scattered clouds
188,Kudat,MY,6.88,116.85,84.2,79,20,3.65,few clouds
189,Mopipi,BW,-21.18,24.88,54.21,72,0,10.74,clear sky
190,Abashiri,JP,44.02,144.27,75.2,53,40,4.7,scattered clouds
191,Contamana,PE,-7.33,-75.02,67.48,73,0,1.52,clear sky
192,Dwarka,IN,22.24,68.97,83.64,86,100,18.7,light rain
193,Suluq,LY,31.67,20.25,73.08,82,0,9.55,clear sky
194,Tiksi,RU,71.69,128.87,41.27,90,100,2.42,overcast clouds
195,Klaksvik,FO,62.23,-6.59,44.6,87,75,16.11,light rain
196,Tuktoyaktuk,CA,69.45,-133.04,53.6,81,20,11.41,few clouds
197,Mandalgovi,MN,45.76,106.27,66.74,37,100,6.85,overcast clouds
198,Chernelytsya,UA,48.81,25.42,62.2,74,0,6.46,clear sky
199,Baker City,US,44.77,-117.83,80.6,39,1,11.41,clear sky
200,Bitung,ID,1.45,125.18,86.0,62,20,3.36,few clouds
201,Kavieng,PG,-2.57,150.8,81.93,72,100,2.48,moderate rain
202,Pokaran,IN,26.92,71.92,86.85,64,63,11.56,broken clouds
203,Cockburn Town,TC,21.46,-71.14,84.11,80,100,30.4,light rain
204,Anadyr,RU,64.75,177.48,55.4,82,40,13.42,scattered clouds
205,Naze,JP,28.37,129.48,89.6,74,75,3.36,broken clouds
206,General Roca,AR,-39.03,-67.58,55.4,43,0,3.36,clear sky
207,Broome,US,42.25,-75.83,73.4,69,1,4.7,clear sky
208,Kachiry,KZ,53.07,76.1,55.85,85,0,6.82,clear sky
209,Halifax,CA,44.65,-63.57,64.0,74,0,3.98,clear sky
210,Trairi,BR,-3.28,-39.27,77.32,83,7,13.87,clear sky
211,Nuevo Progreso,MX,23.17,-97.95,84.0,63,0,6.24,clear sky
212,Ancud,CL,-41.87,-73.82,46.99,100,90,12.75,overcast clouds
213,Cordoba,AR,-31.41,-64.18,55.0,30,0,10.29,clear sky
214,Longyearbyen,SJ,78.22,15.64,37.4,74,77,10.29,broken clouds
215,Carnarvon,AU,-24.87,113.63,69.8,56,100,16.11,overcast clouds
216,Sitka,US,57.05,-135.33,60.8,77,90,4.7,overcast clouds
217,Hamilton,US,39.18,-84.53,73.99,88,1,0.76,clear sky
218,Nizhniy Ingash,RU,56.2,96.53,55.09,87,96,6.06,overcast clouds
219,Namatanai,PG,-3.67,152.43,82.72,75,65,2.37,moderate rain
220,Mamallapuram,IN,12.63,80.17,82.4,83,75,6.93,mist
221,Nuuk,GL,64.18,-51.72,41.0,93,38,3.36,mist
222,Tasiilaq,GL,65.61,-37.64,41.0,71,1,6.93,clear sky
223,Kaeo,NZ,-35.1,173.78,62.01,3,94,14.0,light rain
224,Pozo Colorado,PY,-23.49,-58.8,51.12,59,0,4.92,clear sky
225,Saint George,US,37.1,-113.58,102.2,20,1,13.87,clear sky
226,Grindavik,IS,63.84,-22.43,48.2,93,6,4.7,clear sky
227,Gimli,CA,50.63,-96.99,70.0,99,100,15.05,overcast clouds
228,Vila Do Maio,CV,15.13,-23.22,80.6,74,20,3.36,few clouds
229,Wattegama,LK,6.8,81.48,78.8,100,20,3.36,few clouds
230,Ous,RU,60.91,61.52,48.15,97,11,6.49,few clouds
231,Sistranda,NO,63.73,8.83,55.4,87,75,23.04,shower rain
232,Leningradskiy,RU,69.38,178.42,51.49,69,31,4.81,scattered clouds
233,Gat,IL,31.61,34.76,77.0,79,3,2.51,clear sky
234,Jining,CN,35.41,116.58,79.21,85,55,7.31,broken clouds
235,Yerbogachen,RU,61.28,108.01,58.55,55,0,8.86,clear sky
236,Alghero,IT,40.56,8.32,73.4,88,0,2.24,clear sky
237,Zaltan,LY,32.95,11.87,78.44,60,0,9.15,clear sky
238,Vuktyl,RU,63.86,57.31,45.61,95,100,4.47,overcast clouds
239,Constitucion,CL,-35.33,-72.42,53.56,87,100,16.58,overcast clouds
240,Kondol,RU,52.82,45.06,55.0,53,0,3.94,clear sky
241,Tual,ID,-5.67,132.75,79.0,81,3,16.75,clear sky
242,Waipawa,NZ,-41.41,175.52,57.99,71,99,10.29,overcast clouds
243,Sobolevo,RU,54.43,31.9,53.11,89,100,6.93,overcast clouds
244,Murmansk,RU,68.0,34.0,52.14,96,0,4.76,clear sky
245,Ust-Uda,RU,54.17,103.03,59.23,86,100,8.01,overcast clouds
246,Valparaiso,CL,-33.04,-71.63,52.0,93,90,10.29,overcast clouds
247,Salinopolis,BR,-0.61,-47.36,78.75,87,9,10.85,clear sky
248,Nampula,MZ,-15.12,39.27,66.2,88,75,14.99,broken clouds
249,Vanimo,PG,-2.67,141.3,83.98,70,15,4.25,light rain
250,Prince Albert,CA,53.2,-105.77,68.0,82,75,8.05,broken clouds
251,Yizheng,CN,24.67,103.43,62.56,96,100,5.97,overcast clouds
252,Tawau,MY,4.25,117.89,84.2,83,20,3.13,few clouds
253,Port Hedland,AU,-20.32,118.57,82.4,15,0,11.41,clear sky
254,Chumikan,RU,54.72,135.31,63.52,54,31,0.49,scattered clouds
255,Pitimbu,BR,-7.47,-34.81,73.4,100,40,6.93,scattered clouds
256,Pombia,IT,45.65,8.63,78.01,73,32,3.36,scattered clouds
257,Port Moresby,PG,-9.44,147.18,84.2,66,40,17.22,haze
258,Marsa Matruh,EG,31.35,27.25,78.8,69,0,8.05,clear sky
259,Ibanda,TZ,-2.8,32.47,66.13,60,99,7.83,overcast clouds
260,Talnakh,RU,69.49,88.4,60.8,63,100,8.95,overcast clouds
261,Concepcion Del Oro,MX,24.63,-101.42,71.73,40,23,10.18,few clouds
262,Sakaiminato,JP,35.55,133.23,80.6,88,75,9.17,light intensity shower rain
263,Riverside,US,33.73,-116.05,102.2,35,1,11.41,clear sky
264,Cruzeiro Do Sul,BR,-29.51,-51.99,48.0,68,0,4.0,clear sky
265,Saint-Augustin,CA,51.23,-58.65,56.12,85,34,4.88,scattered clouds
266,Meadow Lake,US,34.8,-106.54,89.6,14,75,34.45,thunderstorm
267,Ust-Nera,RU,64.57,143.2,45.41,54,100,4.97,overcast clouds
268,Arona,ES,28.1,-16.68,82.0,54,0,23.04,clear sky
269,Hami,CN,42.8,93.45,77.77,22,0,9.86,clear sky
270,Vila Velha,BR,-20.33,-40.29,64.4,88,90,13.87,mist
271,Innisfail,AU,-17.53,146.03,73.81,40,43,10.74,scattered clouds
272,Mangai,CD,-4.05,19.53,74.43,79,100,2.98,overcast clouds
273,San Jose,US,37.34,-121.89,84.2,44,75,11.41,smoke
274,Nome,US,64.5,-165.41,55.4,87,90,11.41,light rain
275,Saldanha,ZA,-33.01,17.94,44.6,87,4,9.95,clear sky
276,Coruripe,BR,-10.13,-36.18,72.7,86,71,5.53,light rain
277,Atambua,ID,-9.11,124.89,83.07,33,22,3.53,few clouds
278,Ostrovnoy,RU,68.05,39.51,56.73,78,97,15.17,overcast clouds
279,Pemangkat,ID,1.17,108.97,77.16,89,100,8.52,overcast clouds
280,Santona,ES,43.44,-3.46,64.0,100,1,4.65,clear sky
281,Canberra,AU,-35.28,149.13,46.99,61,40,17.22,scattered clouds
282,Stykkisholmur,IS,65.08,-22.73,48.02,73,100,1.97,overcast clouds
283,Peterhead,GB,57.51,-1.8,55.99,87,90,13.87,overcast clouds
284,Diamantino,BR,-14.41,-56.45,64.74,53,1,6.2,clear sky
285,Ballina,AU,-28.87,153.57,64.4,27,0,25.28,clear sky
286,Yuanping,CN,38.72,112.76,69.33,77,100,0.36,overcast clouds
287,Mogadishu,SO,2.04,45.34,75.85,82,78,14.74,light rain
288,Smithers,CA,54.78,-127.17,59.0,58,75,6.93,light intensity shower rain
289,Verkhnetulomskiy,RU,68.61,31.8,60.8,82,75,6.71,broken clouds
290,Aswan,EG,24.09,32.91,81.1,32,0,8.41,clear sky
291,Tadine,NC,-21.55,167.88,76.03,85,66,13.71,light rain
292,Moron,AR,-34.65,-58.62,55.99,48,0,1.01,clear sky
293,Nambucca Heads,AU,-30.65,153.0,64.4,27,0,18.34,clear sky
294,Jeremie,HT,18.65,-74.12,82.62,78,9,2.15,clear sky
295,Porto Uniao,BR,-26.24,-51.08,41.11,95,0,1.88,clear sky
296,Cururupu,BR,-1.83,-44.87,74.66,95,1,3.15,clear sky
297,Achit,RU,56.8,57.9,49.69,94,96,4.45,overcast clouds
298,Buala,SB,-8.14,159.59,84.74,73,51,9.71,light rain
299,Phan Thiet,VN,10.93,108.1,82.51,80,100,6.85,overcast clouds
300,Bertoua,CM,4.58,13.68,67.96,96,100,3.8,overcast clouds
301,Virginia Beach,US,36.85,-75.98,81.0,83,75,7.4,broken clouds
302,Lavrentiya,RU,65.58,-171.0,47.12,93,100,6.89,overcast clouds
303,Boueni,YT,-12.9,45.08,73.4,83,75,9.17,heavy intensity drizzle rain
304,Severo-Kurilsk,RU,50.68,156.12,56.01,62,0,13.02,clear sky
305,Korla,CN,41.76,86.15,73.0,72,0,4.0,clear sky
306,Kingman,US,35.19,-114.05,100.99,25,1,11.41,clear sky
307,Eyl,SO,7.98,49.82,76.57,67,83,25.99,broken clouds
308,Gopalpur,IN,19.27,84.92,81.72,83,100,7.36,overcast clouds
309,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,64.4,39,47,20.13,scattered clouds
310,Bria,CF,6.54,21.99,68.52,97,100,2.98,overcast clouds
311,Taltal,CL,-25.4,-70.48,53.13,73,0,3.6,clear sky
312,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,38,95,14.99,overcast clouds
313,Acapulco,MX,16.86,-99.89,84.2,79,75,4.7,broken clouds
314,Colares,PT,38.8,-9.45,66.0,91,0,22.62,clear sky
315,Villa Maria,AR,-32.41,-63.24,46.99,37,0,1.01,clear sky
316,Cayenne,GF,4.93,-52.33,77.0,100,8,6.64,clear sky
317,Roebourne,AU,-20.78,117.13,80.37,20,0,6.2,clear sky
318,Bintulu,MY,3.17,113.03,78.8,88,40,2.26,thunderstorm
319,Kiama,AU,-34.68,150.87,59.0,46,0,28.01,clear sky
320,Warkworth,NZ,-36.4,174.67,61.0,85,83,1.99,broken clouds
321,Iqaluit,CA,63.75,-68.51,41.0,86,40,4.7,scattered clouds
322,Luba,GQ,3.46,8.55,76.8,83,100,9.48,overcast clouds
323,Namtsy,RU,62.72,129.67,53.6,41,0,6.71,smoke
324,Andrelandia,BR,-21.74,-44.31,51.69,84,89,10.09,overcast clouds
325,Rocha,UY,-34.48,-54.33,43.97,71,0,6.06,clear sky
326,Tukan,RU,53.84,57.46,42.49,98,51,2.48,broken clouds
327,Carhuamayo,PE,-10.92,-76.03,36.07,94,49,1.79,scattered clouds
328,Kahama,TZ,-3.83,32.6,65.25,57,100,10.2,overcast clouds
329,Goderich,CA,43.75,-81.72,81.0,80,94,4.52,overcast clouds
330,Port Lincoln,AU,-34.73,135.87,54.48,52,8,8.9,clear sky
331,Sladkovo,RU,55.53,70.34,53.33,97,100,7.61,overcast clouds
332,Baykit,RU,61.67,96.37,57.36,90,100,1.25,heavy intensity rain
333,Kerema,PG,-7.96,145.78,79.77,81,56,11.5,light rain
334,Georgetown,MY,5.41,100.34,84.2,83,20,3.36,few clouds
335,Manzhouli,CN,49.6,117.43,63.91,72,84,4.43,broken clouds
336,Notre-Dame-Du-Lac,CA,47.61,-68.8,64.4,48,1,3.36,clear sky
337,Aksu,CN,41.12,80.26,74.66,40,0,4.56,clear sky
